Zipcode,Abandoned#,Longitude,Latitude,AvgSalary,house_zipcode
7410,0,-74.17246303,40.73927385,108521,7102
19006,1,-74.20891835,40.73994711,114065,7103
7052,0,-74.20751519,40.7454462,117284,7103
8816,0,-74.18025396,40.72775847,117473,7102
75024,0,-74.14733735,40.73097718,117938,7105
7652,0,-74.20211213,40.71856412,124464,7112
7042,0,-74.2080741,40.74529086,127038,7103
7042,0,-74.19717286,40.7374459,127038,7103
10019,0,-74.17119798,40.73626591,133175,7102
7006,0,-74.17135929,40.74230365,139504,7102
7960,0,-74.18068179,40.74653122,143929,7107
33156,0,-74.20675306,40.74574129,162451,7103
10128,0,-74.19578937,40.71724353,180473,7108
11598,0,-74.17324311,40.74195841,180670,7102
7670,0,-74.13911986,40.73093352,184764,7105
7039,1,-74.20692487,40.72717977,184778,7103
7039,1,-74.19694547,40.73803876,184778,7103
7039,1,-74.17153251,40.73580807,184778,7102
11530,0,-74.20922577,40.70705348,187098,7111
10023,0,-74.17566473,40.74535851,194366,7103
7417,0,-74.16157691,40.77443264,235259,7104
7114,0,-74.20446653,40.69055482,25040,7114
7501,1,-74.22960755,40.74946992,30516,7106
19104,0,-74.21127685,40.73123888,38468,7103
7108,64,-74.20346649,40.7249227,39145,7108
7108,64,-74.20259659,40.72536094,39145,7108
7108,64,-74.2009041,40.72538394,39145,7108
7108,64,-74.20137099,40.72464485,39145,7108
7108,64,-74.20143558,40.72449045,39145,7108
7108,64,-74.20334384,40.72521177,39145,7108
7108,64,-74.20300214,40.72439302,39145,7108
7108,64,-74.2049983,40.72490587,39145,7108
7108,64,-74.20509659,40.7246783,39145,7108
7108,64,-74.20427714,40.72562428,39145,7108
7108,64,-74.20530062,40.72582381,39145,7108
7108,64,-74.20554911,40.72626681,39145,7108
7108,64,-74.20662011,40.7264104,39145,7108
7108,64,-74.20768166,40.72521236,39145,7108
7108,64,-74.2077044,40.72609282,39145,7108
7108,64,-74.20772906,40.72618775,39145,7108
7108,64,-74.20832119,40.72620564,39145,7108
7108,64,-74.20871004,40.72617601,39145,7108
7108,64,-74.20838803,40.726031,39145,7108
7108,64,-74.20884083,40.72582757,39145,7108
7108,64,-74.20946675,40.7267466,39145,7108
7108,64,-74.20495378,40.72501542,39145,7108
7108,64,-74.20140164,40.72457158,39145,7108
7108,64,-74.20051217,40.72244955,39145,7108
7108,64,-74.19676521,40.72286844,39145,7108
7108,64,-74.18989847,40.71789334,39145,7114
7108,64,-74.18994119,40.71781771,39145,7108
7108,64,-74.19079287,40.71636991,39145,7114
7108,64,-74.20294299,40.71658473,39145,7108
7108,64,-74.20147195,40.71916193,39145,7108
7108,64,-74.2008774,40.71902269,39145,7108
7108,64,-74.19601561,40.71806753,39145,7108
7108,64,-74.19671313,40.71645065,39145,7108
7108,64,-74.19639958,40.7186496,39145,7108
7108,64,-74.19926271,40.71940522,39145,7108
7108,64,-74.19923575,40.71947038,39145,7108
7108,64,-74.19906574,40.71985842,39145,7108
7108,64,-74.20074439,40.72094428,39145,7108
7108,64,-74.20118188,40.72084684,39145,7112
7108,64,-74.20048632,40.72125159,39145,7108
7108,64,-74.20056723,40.72178977,39145,7108
7108,64,-74.20083018,40.7218465,39145,7108
7108,64,-74.20062166,40.72218827,39145,7108
7108,64,-74.20053941,40.72238426,39145,7108
7108,64,-74.20949201,40.72668072,39145,7108
7108,64,-74.19928594,40.7228484,39145,7108
7108,64,-74.19539081,40.72202086,39145,7108
7108,64,-74.19237667,40.7223633,39145,7108
